wavelength_nm,transmission_amplitude_real,transmission_amplitude_imag,transmission_phase_rad,transmission_phase_unwrapped_rad
607.0,0.17685834850860632,-0.9504965598891215,-1.3868307234027384,-7.670016030582324
608.0,0.14545651623127012,-0.959101040045839,-1.420284065835594,-7.70346937301518
609.0,0.11388979427483283,-0.9667347874025366,-1.4535281245017326,-7.736713431681318
610.0,0.08217904973259216,-0.9734230352028636,-1.4865732892231482,-7.769758596402734
611.0,0.05034152543393094,-0.9791909538066889,-1.5194302041435939,-7.802615511323179
612.0,0.018390436004790952,-0.9840637161453006,-1.5521102445906054,-7.835295551770191
613.0,-0.013665581051823196,-0.9880663735481714,-1.5846260756572133,-7.867811382836798
614.0,-0.045823127972297616,-0.991223492059076,-1.6169922928455713,-7.900177600025157
615.0,-0.07808477652829744,-0.9935584912892376,-1.6492261379959179,-7.932411445175504
616.0,-0.11045979470767954,-0.9950926232207691,-1.681348271114666,-7.964533578294251
617.0,-0.1429647669016513,-0.9958435313377851,-1.7133835593962334,-7.996568866575819
618.0,-0.17562396248839346,-0.9958233468833547,-1.7453618179466954,-8.02854712512628
619.0,-0.20846926081000403,-0.9950363163619697,-1.7773184029905114,-8.060503710170096
620.0,-0.24153939663970286,-0.9934760206547786,-1.8092945207129398,-8.092479827892525
621.0,-0.2748782639977641,-0.9911223474062989,-1.8413370803500035,-8.12452238752959
622.0,-0.3085320295492076,-0.9879385144383255,-1.8734979007210686,-8.156683207900654
623.0,-0.34254488707913266,-0.9838685999118388,-1.9058320920391916,-8.189017399218777
624.0,-0.37695345718293266,-0.9788361826308082,-1.938395498324695,-8.22158080550428
625.0,-0.41178011161105255,-0.9727447790571607,-1.971241213844896,-8.254426521024481
